sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),sepal length (cm)^2,sqrt(petal width (cm)),log(petal length (cm)),petal area (cm2),sepal area (cm2),species_0,species_1,species_2
5.199342830602246,3.4778777118126105,1.5554452491441662,0.38276358276896305,27.03316587013498,0.6186789011829666,0.441761838500252,0.5953677963633834,18.08267854662424,True,False,False
4.853169325055333,2.9625380868881313,1.7790110757217739,0.29209216749834904,23.55325249765804,0.5404555185196549,0.576057634477569,0.5196352011111425,14.37769896759359,True,False,False
4.60610512281301,3.2868096069737547,1.188779753725009,0.1441124295715692,21.21620440240425,0.37962142928392384,0.17292736398590133,0.17131793853480276,15.139390568392827,True,False,False
4.648392454313207,2.7938751608547525,1.0860197201968722,0.1325254964910833,21.60755240931596,0.3640405149033323,0.08251937990753484,0.14392530261819786,12.987028216010328,True,False,False
4.797433775933115,3.650279573215244,1.1820742218749092,0.030523555839765043,23.015370834463866,0.17470991912242717,0.16727071047686956,0.0360811085181456,17.511974516141528,True,False,False
5.693129753784311,3.8638757919221542,1.7162067691251017,0.22903021765438522,32.41172639342421,0.47857101631250637,0.5401164886349997,0.3930632098726513,21.997546235918936,True,False,False
4.4911234550949635,3.4177476143535785,1.1237615414186473,0.3450837622014806,20.170189888904122,0.5874383050171997,0.1166815772013614,0.3877918605300818,15.349526474418212,True,False,False
4.879872262016239,3.3533290000330758,1.3555904130649448,0.4222733821410726,23.813153293595484,0.6498256551884302,0.30423708862848475,0.5724297485229478,16.363817172676058,True,False,False
4.397300555052413,2.730766251367056,1.5974107789047653,0.053498762003477335,19.336252171464263,0.23129799394607237,0.4683840552590072,0.08545949908241539,12.007999952854753,True,False,False
4.9417727190009515,2.786452780179236,1.1812353482643767,0.12362334830429483,24.421117606262058,0.35160112102252294,0.1665607961631775,0.14602826888783205,13.770016331874103,True,False,False
5.547693315999083,3.7274189249903955,1.4722444122268223,0.16386755652928536,30.7769011283809,0.4048055786785619,0.3867880474383783,0.2412530944455033,20.678577056097705,True,False,False
4.504295601926515,3.2848249266568463,1.4894466949696512,0.3268546671462699,20.288678869534543,0.5717120491526043,0.3984047053335427,0.4868326037164171,14.795822470239019,True,False,False
4.8687236579136925,2.7179135751419627,1.4777801526547507,0.053790126350042024,23.704470057128486,0.23192698495440764,,0.07948998112888343,13.232770123458458,True,False,False
4.164615599938808,3.097868206214539,1.3474398853990284,0.21175361429394385,17.344023095253682,0.4601669417656421,0.2982064108570996,,12.901430258155521,True,False,False
